Order_ID,Order_Date,Customer_ID,Gender,Age,City,Category,Product_Name,Quantity,Price,Discount,Total_Sales,Payment_Method,Rating,Delivery_Status
ORD00001,2025-02-22,C1692,Male,55,Bengaluru,Dress,Floral Dress,3,799,5,2277.15,UPI,3.7,Delivered
ORD00002,2025-04-12,C1733,Female,32,Bengaluru,Dress,Floral Dress,2,1999,20,3198.4,Cash,3.5,Delivered
ORD00003,2025-06-22,C1104,Male,42,Pune,Top,Crop Top,4,999,10,3596.4,Cash,3.7,Returned
ORD00004,2025-07-13,C1080,Female,41,Hyderabad,Accessories,Watch,1,2499,15,2124.15,Card,4.3,Cancelled
ORD00005,2025-04-30,C1887,Male,42,Delhi,Dress,Floral Dress,2,2999,10,5398.2,Net Banking,5.0,Cancelled
ORD00006,2025-12-26,C1959,Male,28,Hyderabad,Bottom,Jeans,3,999,5,2847.15,Card,4.5,Delivered
ORD00007,2025-06-16,C1863,Male,32,Pune,Shoes,Heels,3,2499,20,5997.6,Cash,3.8,Returned
ORD00008,2025-09-13,C1405,Female,27,Delhi,Bottom,Jeans,2,1999,10,3598.2,Card,3.8,Delivered
ORD00009,2025-10-26,C1408,Female,32,Mumbai,Accessories,Scarf,3,2499,20,5997.6,Net Banking,4.1,Delivered
ORD00010,2025-08-05,C1610,Male,42,Bengaluru,Dress,Floral Dress,2,2499,5,4748.1,Net Banking,4.7,Cancelled
ORD00011,2025-10-02,C1768,Female,39,Pune,Bottom,Trousers,1,2499,0,2499.0,Cash,4.5,Returned
ORD00012,2025-04-02,C1519,Male,37,Chennai,Top,Shirt,1,2499,10,2249.1,Card,5.0,Delivered
ORD00013,2025-02-27,C1951,Female,37,Mumbai,Bottom,Jeans,1,1999,10,1799.1,UPI,4.2,Delivered
ORD00014,2025-09-30,C1784,Male,26,Chennai,Accessories,Handbag,1,2499,15,2124.15,Net Banking,4.7,Cancelled
ORD00015,2025-12-20,C1205,Female,43,Chennai,Top,Shirt,4,799,20,2556.8,Cash,4.6,Returned
ORD00016,2025-01-11,C1602,Male,55,Mumbai,Accessories,Watch,1,799,5,759.05,UPI,3.6,Delivered
ORD00017,2025-05-02,C1285,Female,31,Hyderabad,Dress,Floral Dress,1,499,10,449.1,Card,3.6,Cancelled
ORD00018,2025-04-08,C1096,Male,45,Delhi,Accessories,Scarf,4,799,15,2716.6,Net Banking,4.7,Returned
ORD00019,2025-06-23,C1819,Male,33,Mumbai,Shoes,Sandals,1,2499,0,2499.0,Card,3.6,Cancelled
ORD00020,2025-02-08,C1453,Male,21,Chennai,Shoes,Sneakers,4,799,10,2876.4,UPI,4.2,Delivered
ORD00021,2025-07-25,C1924,Male,28,Bengaluru,Top,T-Shirt,4,1499,15,5096.6,UPI,3.8,Returned
ORD00022,2025-09-07,C1158,Male,36,Mumbai,Bottom,Leggings,3,1499,20,3597.6,UPI,4.5,Cancelled
ORD00023,2025-09-15,C1941,Male,21,Hyderabad,Accessories,Handbag,3,499,0,1497.0,UPI,4.4,Delivered
ORD00024,2025-10-19,C1252,Male,23,Bengaluru,Dress,Kurti,1,2499,5,2374.05,Cash,4.1,Returned
ORD00025,2025-12-10,C1660,Female,47,Delhi,Top,Crop Top,3,799,10,2157.3,UPI,4.1,Delivered
ORD00026,2025-05-16,C1135,Female,22,Mumbai,Shoes,Sandals,1,499,20,399.2,Cash,3.8,Returned
